

Idaho (PST) SNOTEL Site Mores Creek Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Mon Mar 28 17:10:25 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,SNWD.I-1 (in) ,
637,2020-10-01,,       0,
637,2020-10-02,,       0,
637,2020-10-03,,       0,
637,2020-10-04,,       0,
637,2020-10-05,,       0,
637,2020-10-06,,       0,
637,2020-10-07,,       0,
637,2020-10-08,,       0,
637,2020-10-09,,       0,
637,2020-10-10,,       0,
637,2020-10-11,,       0,
637,2020-10-12,,       0,
637,2020-10-13,,       0,
637,2020-10-14,,       0,
637,2020-10-15,,       0,
637,2020-10-16,,       0,
637,2020-10-17,,       0,
637,2020-10-18,,       0,
637,2020-10-19,,       0,
637,2020-10-20,,       0,
637,2020-10-21,,       0,
637,2020-10-22,,       0,
637,2020-10-23,,       0,
637,2020-10-24,,       0,
637,2020-10-25,,       0,
637,2020-10-26,,       0,
637,2020-10-27,,       0,
637,2020-10-28,,       0,
637,2020-10-29,,       0,
637,2020-10-30,,       0,
637,2020-10-31,,       0,
637,2020-11-01,,       0,
637,2020-11-02,,       0,
637,2020-11-03,,       0,
637,2020-11-04,,       0,
637,2020-11-05,,       0,
637,2020-11-06,,       0,
637,2020-11-07,,       0,
637,2020-11-08,,       0,
637,2020-11-09,,       2,
637,2020-11-10,,       2,
637,2020-11-11,,      12,
637,2020-11-12,,      12,
637,2020-11-13,,      10,
637,2020-11-14,,      20,
637,2020-11-15,,      22,
637,2020-11-16,,      29,
637,2020-11-17,,      26,
637,2020-11-18,,      27,
637,2020-11-19,,      31,
637,2020-11-20,,      30,
637,2020-11-21,,      28,
637,2020-11-22,,      27,
637,2020-11-23,,      26,
637,2020-11-24,,      25,
637,2020-11-25,,      26,
637,2020-11-26,,      29,
637,2020-11-27,,      28,
637,2020-11-28,,      27,
637,2020-11-29,,      27,
637,2020-11-30,,      27,
637,2020-12-01,,      27,
637,2020-12-02,,      27,
637,2020-12-03,,      27,
637,2020-12-04,,      27,
637,2020-12-05,,      27,
637,2020-12-06,,      27,
637,2020-12-07,,      27,
637,2020-12-08,,      26,
637,2020-12-09,,      26,
637,2020-12-10,,      26,
637,2020-12-11,,      26,
637,2020-12-12,,      25,
637,2020-12-13,,      25,
637,2020-12-14,,      28,
637,2020-12-15,,      28,
637,2020-12-16,,      30,
637,2020-12-17,,      32,
637,2020-12-18,,      34,
637,2020-12-19,,      33,
637,2020-12-20,,      34,
637,2020-12-21,,      36,
637,2020-12-22,,      35,
637,2020-12-23,,      37,
637,2020-12-24,,      37,
637,2020-12-25,,      37,
637,2020-12-26,,      36,
637,2020-12-27,,      40,
637,2020-12-28,,      40,
637,2020-12-29,,      40,
637,2020-12-30,,      40,
637,2020-12-31,,      45,
637,2021-01-01,,      46,
637,2021-01-02,,      44,
637,2021-01-03,,      45,
637,2021-01-04,,      54,
637,2021-01-05,,      58,
637,2021-01-06,,      57,
637,2021-01-07,,      55,
637,2021-01-08,,      58,
637,2021-01-09,,      55,
637,2021-01-10,,      53,
637,2021-01-11,,      52,
637,2021-01-12,,      51,
637,2021-01-13,,      59,
637,2021-01-14,,      61,
637,2021-01-15,,      60,
637,2021-01-16,,      57,
637,2021-01-17,,      57,
637,2021-01-18,,      57,
637,2021-01-19,,      56,
637,2021-01-20,,      56,
637,2021-01-21,,      55,
637,2021-01-22,,      56,
637,2021-01-23,,      56,
637,2021-01-24,,      56,
637,2021-01-25,,      56,
637,2021-01-26,,      55,
637,2021-01-27,,      54,
637,2021-01-28,,      60,
637,2021-01-29,,      64,
637,2021-01-30,,      69,
637,2021-01-31,,      68,
637,2021-02-01,,      66,
637,2021-02-02,,      65,
637,2021-02-03,,      69,
637,2021-02-04,,      67,
637,2021-02-05,,      67,
637,2021-02-06,,      68,
637,2021-02-07,,      67,
637,2021-02-08,,      66,
637,2021-02-09,,      65,
637,2021-02-10,,      64,
637,2021-02-11,,      64,
637,2021-02-12,,      66,
637,2021-02-13,,      69,
637,2021-02-14,,      73,
637,2021-02-15,,      76,
637,2021-02-16,,      80,
637,2021-02-17,,      83,
637,2021-02-18,,      82,
637,2021-02-19,,      83,
637,2021-02-20,,      88,
637,2021-02-21,,      86,
637,2021-02-22,,      85,
637,2021-02-23,,      84,
637,2021-02-24,,      84,
637,2021-02-25,,      83,
637,2021-02-26,,      84,
637,2021-02-27,,      92,
637,2021-02-28,,      92,
637,2021-03-01,,      89,
637,2021-03-02,,      87,
637,2021-03-03,,      85,
637,2021-03-04,,      83,
637,2021-03-05,,      82,
637,2021-03-06,,      79,
637,2021-03-07,,      79,
637,2021-03-08,,      79,
637,2021-03-09,,      78,
637,2021-03-10,,      78,
637,2021-03-11,,      77,
637,2021-03-12,,      76,
637,2021-03-13,,      76,
637,2021-03-14,,      75,
637,2021-03-15,,      74,
637,2021-03-16,,      73,
637,2021-03-17,,      71,
637,2021-03-18,,      70,
637,2021-03-19,,      69,
637,2021-03-20,,      69,
637,2021-03-21,,      69,
637,2021-03-22,,      69,
637,2021-03-23,,      71,
637,2021-03-24,,      70,
637,2021-03-25,,      71,
637,2021-03-26,,      72,
637,2021-03-27,,      71,
637,2021-03-28,,      70,
637,2021-03-29,,      68,
637,2021-03-30,,      68,
637,2021-03-31,,      68,
637,2021-04-01,,      66,
637,2021-04-02,,      64,
637,2021-04-03,,      62,
637,2021-04-04,,      60,
637,2021-04-05,,      58,
637,2021-04-06,,      56,
637,2021-04-07,,      55,
637,2021-04-08,,      53,
637,2021-04-09,,      52,
637,2021-04-10,,      51,
637,2021-04-11,,      49,
637,2021-04-12,,      48,
637,2021-04-13,,      48,
637,2021-04-14,,      47,
637,2021-04-15,,      46,
637,2021-04-16,,      44,
637,2021-04-17,,      42,
637,2021-04-18,,      41,
637,2021-04-19,,      39,
637,2021-04-20,,      36,
637,2021-04-21,,      34,
637,2021-04-22,,      32,
637,2021-04-23,,      31,
637,2021-04-24,,      29,
637,2021-04-25,,      28,
637,2021-04-26,,      31,
637,2021-04-27,,      30,
637,2021-04-28,,      29,
637,2021-04-29,,      27,
637,2021-04-30,,      25,
637,2021-05-01,,      21,
637,2021-05-02,,      19,
637,2021-05-03,,      15,
637,2021-05-04,,      13,
637,2021-05-05,,      12,
637,2021-05-06,,       9,
637,2021-05-07,,       4,
637,2021-05-08,,       2,
637,2021-05-09,,       0,
637,2021-05-10,,       0,
637,2021-05-11,,       0,
637,2021-05-12,,       0,
637,2021-05-13,,       0,
637,2021-05-14,,       0,
637,2021-05-15,,       0,
637,2021-05-16,,       0,
637,2021-05-17,,       0,
637,2021-05-18,,       0,
637,2021-05-19,,       0,
637,2021-05-20,,       0,
637,2021-05-21,,       0,
637,2021-05-22,,       0,
637,2021-05-23,,       0,
637,2021-05-24,,       0,
637,2021-05-25,,       0,
637,2021-05-26,,       0,
637,2021-05-27,,       0,
637,2021-05-28,,       0,
637,2021-05-29,,       0,
637,2021-05-30,,       0,
637,2021-05-31,,       0,
637,2021-06-01,,       0,
637,2021-06-02,,       0,
637,2021-06-03,,       0,
637,2021-06-04,,       0,
637,2021-06-05,,       0,
637,2021-06-06,,       0,
637,2021-06-07,,       0,
637,2021-06-08,,       0,
637,2021-06-09,,       0,
637,2021-06-10,,       0,
637,2021-06-11,,       0,
637,2021-06-12,,       0,
637,2021-06-13,,       0,
637,2021-06-14,,       0,
637,2021-06-15,,       0,
637,2021-06-16,,       0,
637,2021-06-17,,       0,
637,2021-06-18,,       0,
637,2021-06-19,,       0,
637,2021-06-20,,       0,
637,2021-06-21,,       0,
637,2021-06-22,,       0,
637,2021-06-23,,       0,
637,2021-06-24,,       0,
637,2021-06-25,,       0,
637,2021-06-26,,       0,
637,2021-06-27,,       0,
637,2021-06-28,,       0,
637,2021-06-29,,       0,
637,2021-06-30,,       0,
637,2021-07-01,,       0,
637,2021-07-02,,       0,
637,2021-07-03,,       0,
637,2021-07-04,,       0,
637,2021-07-05,,       0,
637,2021-07-06,,       0,
637,2021-07-07,,       0,
637,2021-07-08,,       0,
637,2021-07-09,,       0,
637,2021-07-10,,       0,
637,2021-07-11,,       0,
637,2021-07-12,,       0,
637,2021-07-13,,       0,
637,2021-07-14,,       0,
637,2021-07-15,,       0,
637,2021-07-16,,       0,
637,2021-07-17,,       0,
637,2021-07-18,,       0,
637,2021-07-19,,       0,
637,2021-07-20,,       0,
637,2021-07-21,,       0,
637,2021-07-22,,       0,
637,2021-07-23,,       0,
637,2021-07-24,,       0,
637,2021-07-25,,       0,
637,2021-07-26,,       0,
637,2021-07-27,,       0,
637,2021-07-28,,       0,
637,2021-07-29,,       0,
637,2021-07-30,,       0,
637,2021-07-31,,       0,
637,2021-08-01,,       0,
637,2021-08-02,,       0,
637,2021-08-03,,       0,
637,2021-08-04,,       0,
637,2021-08-05,,       0,
637,2021-08-06,,       0,
637,2021-08-07,,       0,
637,2021-08-08,,       0,
637,2021-08-09,,       0,
637,2021-08-10,,       0,
637,2021-08-11,,       0,
637,2021-08-12,,       0,
637,2021-08-13,,       0,
637,2021-08-14,,       0,
637,2021-08-15,,       0,
637,2021-08-16,,       0,
637,2021-08-17,,       0,
637,2021-08-18,,       0,
637,2021-08-19,,       0,
637,2021-08-20,,       0,
637,2021-08-21,,       0,
637,2021-08-22,,       0,
637,2021-08-23,,       0,
637,2021-08-24,,       0,
637,2021-08-25,,       0,
637,2021-08-26,,       0,
637,2021-08-27,,       0,
637,2021-08-28,,       0,
637,2021-08-29,,       0,
637,2021-08-30,,       0,
637,2021-08-31,,       0,
637,2021-09-01,,       0,
637,2021-09-02,,       0,
637,2021-09-03,,       0,
637,2021-09-04,,       0,
637,2021-09-05,,       0,
637,2021-09-06,,       0,
637,2021-09-07,,       0,
637,2021-09-08,,       0,
637,2021-09-09,,       0,
637,2021-09-10,,       0,
637,2021-09-11,,       0,
637,2021-09-12,,       0,
637,2021-09-13,,       0,
637,2021-09-14,,       0,
637,2021-09-15,,       0,
637,2021-09-16,,       0,
637,2021-09-17,,       0,
637,2021-09-18,,       0,
637,2021-09-19,,       0,
637,2021-09-20,,       0,
637,2021-09-21,,       0,
637,2021-09-22,,       0,
637,2021-09-23,,       0,
637,2021-09-24,,       0,
637,2021-09-25,,       0,
637,2021-09-26,,       0,
637,2021-09-27,,       0,
637,2021-09-28,,       0,
637,2021-09-29,,       0,
637,2021-09-30,,       0,
637,2021-09-30,23:59,-99.9,




